config_name,scenario_name,avg_waiting_time_sec,max_waiting_time_sec,passengers_served,passengers_left_behind,avg_occupancy_rate,max_occupancy_rate,avg_train_delay_sec,max_train_delay_sec,delay_propagation_count,failed_trains,operational_cost_index,total_system_cost
3-car / 1.5 min,"OFF-PEAK
(Low, Stable)",7.497883762334662,10.216143326541845,300,200,0.024390243902439025,1.0,0.0,0,0,0,4.2,441.6894188116733
3-car / 1.5 min,"OFF-PEAK
(Low, Stable)",59.319908232724416,64.2393578713306,9,0,0.0007317073170731707,0.03,0.0,0,0,0,4.2,13.097986234908664
3-car / 1.5 min,"OFF-PEAK
(Low, Stable)",27.09802225274975,29.84577456876293,300,200,0.02631578947368421,1.0,0.0,0,0,2,5.0,540.4901112637488
3-car / 1.5 min,"OFF-PEAK
(Low, Stable)",30.314302017834848,33.017511464971236,300,200,0.025,1.0,0.0,0,0,1,4.6000000000000005,556.1715100891743
3-car / 1.5 min,"OFF-PEAK
(Low, Stable)",2.9294140719597386,50.06333838335304,242,0,0.02016666666666667,0.8,0.0,0,0,0,4.2,16.015303423570945
3-car / 1.5 min,"OFF-PEAK
(Low, Stable)",13.218857261064038,16.03416663261175,302,198,0.024552845528455283,1.0,0.0,0,0,0,4.2,466.73491488068896
3-car / 1.5 min,"OFF-PEAK
(Low, Stable)",18.039471423576515,20.78146147442183,300,200,0.025,1.0,0.0,0,0,0,4.2,494.39735711788256
3-car / 1.5 min,"OFF-PEAK
(Low, Stable)",41.96660971343638,46.87333870851354,6,0,0.0005,0.02,0.0,0,0,0,4.2,8.396660971343639
3-car / 1.5 min,"OFF-PEAK
(Low, Stable)",16.235056281948214,22.689084178398222,6,0,0.0004878048780487805,0.02,0.0,0,0,0,4.2,5.823505628194821
3-car / 1.5 min,"OFF-PEAK
(Low, Stable)",3.1946942651830765,72.19972447278806,243,0,0.02025,0.8033333333333333,0.0,0,0,0,4.2,17.13851177399146
3-car / 1.5 min,"OFF-PEAK
(Low, Stable)",17.607313290552998,25.806798287232183,5,0,0.0004065040650406504,0.016666666666666666,0.0,0,0,0,4.2,5.667276107546083
3-car / 1.5 min,"OFF-PEAK
(Low, Stable)",25.834245482605287,28.571453010990904,300,200,0.02564102564102564,1.0,0.0,0,0,1,4.6000000000000005,533.7712274130264
3-car / 1.5 min,"OFF-PEAK
(Low, Stable)",53.45845490121228,56.83533050824105,4,0,0.0003252032520325203,0.013333333333333334,0.0,0,0,0,4.2,7.763896993414152
